no,os,ol,ms,ml
4.6104,5.9684,4.7978,4.5039,5.457
4.0457,3.6725,3.295,4.326,3.543
4.3677,2.9203,3.9815,2.8593,2.8516
2.7643,2.8246,2.922,2.7926,3.1719
5.3871,4.408,4.3405,5.1759,4.0152
2.3933,2.6489,2.1082,1.9112,1.978
2.8697,2.0339,2.3032,2.5336,1.9693
3.1333,2.9517,3.1627,2.565,2.7725
1.8788,1.7938,1.9386,1.5011,1.615
4.1513,2.4095,2.0193,2.8287,3.7236
4.2578,4.241,4.3407,4.1639,3.7703
3.3037,3.5827,4.457,4.371,3.6696
2.6677,2.3627,3.7417,2.2371,2.1103
4.3791,4.0263,3.9755,3.7809,3.9755
4.0654,3.6842,4.358,3.0488,3.5607
3.4416,3.7139,3.4793,3.8945,2.5659
3.4949,2.9491,3.6011,2.5267,2.6067
4.8271,4.8168,4.628,4.6265,5.1139
4.621,4.5909,6.1995,4.5389,5.0878
3.2701,3.2626,3.7297,3.5051,4.345
3.4751,3.1273,3.38,3.2203,3.374
2.8873,3.7521,4.1149,3.5077,3.44